N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1.0,삼성전자,68200.0,1100.0,+1.64%,100.0,68300.0,68700.0,67900.0
2.0,LG에너지솔루션,535000.0,10000.0,+1.90%,500.0,532000.0,537000.0,523000.0
3.0,SK하이닉스,120900.0,4900.0,+4.22%,5000.0,122300.0,123600.0,120300.0
4.0,삼성바이오로직스,763000.0,0.0,0.00%,2500.0,763000.0,772000.0,763000.0
5.0,POSCO홀딩스,579000.0,28000.0,+5.08%,5000.0,557000.0,583000.0,548000.0
6.0,삼성전자우,55400.0,900.0,+1.65%,100.0,55200.0,55600.0,55100.0
7.0,삼성SDI,594000.0,8000.0,+1.37%,5000.0,588000.0,602000.0,588000.0
8.0,LG화학,563000.0,1000.0,+0.18%,5000.0,564000.0,572000.0,558000.0
9.0,현대차,186400.0,1100.0,-0.59%,5000.0,188300.0,189300.0,186000.0
10.0,NAVER,229000.0,13500.0,+6.26%,100.0,221000.0,235000.0,218500.0
11.0,포스코퓨처엠,469000.0,47000.0,+11.14%,500.0,428000.0,475000.0,418500.0
12.0,기아,78800.0,100.0,+0.13%,5000.0,79600.0,79600.0,78400.0
13.0,카카오,49100.0,200.0,+0.41%,100.0,49450.0,50100.0,48900.0
14.0,KB금융,53200.0,600.0,+1.14%,5000.0,52600.0,53200.0,52500.0
15.0,현대모비스,227500.0,500.0,+0.22%,5000.0,229000.0,229000.0,226000.0
16.0,셀트리온,144600.0,3100.0,+2.19%,1000.0,142100.0,145700.0,140900.0
17.0,삼성물산,104600.0,700.0,+0.67%,100.0,104200.0,105000.0,104000.0
18.0,신한지주,35050.0,0.0,0.00%,5000.0,35050.0,35350.0,35050.0
19.0,LG전자,99100.0,500.0,+0.51%,5000.0,99900.0,100500.0,99100.0
20.0,SK이노베이션,174200.0,700.0,+0.40%,5000.0,173700.0,176600.0,171200.0
21.0,포스코인터내셔널,80300.0,3100.0,+4.02%,5000.0,78400.0,81400.0,75300.0
22.0,삼성생명,66400.0,900.0,-1.34%,500.0,66800.0,67300.0,66100.0
23.0,LG,82000.0,500.0,+0.61%,5000.0,81500.0,82100.0,81300.0
24.0,카카오뱅크,25000.0,600.0,-2.34%,5000.0,25750.0,25900.0,24850.0
25.0,삼성화재,251500.0,3000.0,-1.18%,500.0,257000.0,257000.0,247500.0
26.0,KT&G,85700.0,300.0,-0.35%,5000.0,86000.0,86400.0,85600.0
27.0,한국전력,18000.0,90.0,-0.50%,5000.0,18160.0,18200.0,17980.0
28.0,하나금융지주,38550.0,250.0,-0.64%,5000.0,38800.0,38850.0,38550.0
29.0,삼성전기,149100.0,2900.0,+1.98%,5000.0,149400.0,152300.0,148600.0
30.0,삼성에스디에스,141400.0,5600.0,+4.12%,500.0,137500.0,142500.0,136900.0
31.0,HD현대중공업,121100.0,500.0,+0.41%,5000.0,121100.0,121900.0,118400.0
32.0,두산에너빌리티,16570.0,190.0,+1.16%,5000.0,16700.0,16700.0,16220.0
33.0,메리츠금융지주,50700.0,200.0,-0.39%,500.0,51000.0,51200.0,50000.0
34.0,SK,143200.0,1300.0,+0.92%,200.0,142900.0,144300.0,142300.0
35.0,SK텔레콤,47100.0,100.0,-0.21%,100.0,47200.0,47250.0,47000.0
36.0,하이브,232500.0,1500.0,-0.64%,500.0,232500.0,236000.0,231500.0
37.0,고려아연,479000.0,9000.0,+1.91%,5000.0,474000.0,481000.0,467000.0
38.0,대한항공,23350.0,50.0,+0.21%,5000.0,23400.0,23450.0,23250.0
39.0,KT,32850.0,250.0,+0.77%,5000.0,32550.0,32900.0,32400.0
40.0,우리금융지주,11600.0,30.0,+0.26%,5000.0,11570.0,11600.0,11530.0
